,batting_team,bowling_team,innings,over,runs,wickets,"Abu Dhabi, UAE",Ahmedabad,Bengaluru,"Bloemfontein, South Africa","Cape Town, South Africa","Centurion, South Africa",Chennai,Cuttack,Delhi,Dharamshala,"Dubai, UAE","Durban, KwaZulu-Natal, South Africa","East London, Eastern Cape, South Africa","Gqeberha, South Africa",Hyderabad,Indore,Jaipur,Jamtha,"Johannesburg, South Africa",Kanpur,"Kimberley, South Africa",Kolkata,Mohali,Mumbai,Pune,Raipur,Rajkot,Ranchi,"Sharjah, UAE",Visakhapatnam
batting_team,1.0,-0.082,-0.0037,0.0051,0.0012,0.0038,-0.0406,-0.0207,-0.1266,0.0044,-0.0279,-0.0079,-0.0859,0.0014,0.0605,-0.0116,-0.0297,-0.0343,0.0088,-0.0198,0.0887,0.0005,-0.0047,0.0033,-0.0273,0.0723,0.0039,-0.1671,-0.0299,0.1567,0.1173,0.0149,0.1243,-0.0532,-0.0447,0.0633
bowling_team,-0.082,1.0,0.0061,0.0038,-0.0064,0.0185,-0.0407,-0.0201,-0.1286,0.0041,-0.0189,-0.0059,-0.0836,-0.0005,0.0606,-0.0111,-0.0296,-0.036,0.0121,-0.0239,0.088,0.006,-0.0083,0.0036,-0.0271,0.081,0.0032,-0.1701,-0.0305,0.1598,0.1125,0.0172,0.1156,-0.0527,-0.039,0.062
innings,-0.0037,0.0061,1.0,-0.0506,-0.0387,0.0085,0.0002,0.0007,-0.0037,0.0013,-0.0004,-0.0005,0.0057,0.0019,-0.003,-0.0001,0.0061,0.0016,-0.0017,-0.0005,-0.0004,-0.0064,-0.0031,0.002,0.0006,-0.0023,0.001,-0.0028,0.0012,0.0017,0.0007,-0.0004,0.0018,0.0026,-0.002,-0.0031
over,0.0051,0.0038,-0.0506,1.0,0.939,0.7539,-0.0016,0.0001,-0.0062,0.001,-0.0068,-0.0022,0.0076,0.0019,-0.002,-0.0005,0.0042,0.0029,-0.0021,-0.0011,-0.0003,-0.0081,-0.002,0.0017,0.0019,-0.0037,0.0011,-0.0047,0.0004,0.0054,0.0024,0.0001,-0.0017,0.0009,0.0012,-0.0017
runs,0.0012,-0.0064,-0.0387,0.939,1.0,0.6119,-0.0065,-0.0019,0.0081,-0.0154,-0.0231,-0.0061,0.0025,0.002,0.0096,-0.0021,-0.003,-0.0093,-0.0155,-0.0094,-0.0098,0.0067,-0.0095,-0.0019,-0.0148,0.0091,-0.0062,0.0012,0.0172,0.022,-0.0095,-0.0135,0.0153,-0.01,-0.002,-0.0173
wickets,0.0038,0.0185,0.0085,0.7539,0.6119,1.0,-0.0083,-0.0036,-0.003,0.0127,0.0253,0.0038,-0.0106,-0.0045,0.0056,-0.0081,0.0005,0.0138,0.0025,0.001,-0.0119,-0.0052,-0.0127,0.0115,0.0049,0.0096,0.0105,-0.0047,-0.0209,0.032,0.0088,-0.0026,-0.0131,-0.012,-0.0056,-0.0046
"Abu Dhabi, UAE",-0.0406,-0.0407,0.0002,-0.0016,-0.0065,-0.0083,1.0,-0.0288,-0.0599,-0.0095,-0.0167,-0.0228,-0.0562,-0.0175,-0.0618,-0.0198,-0.046,-0.0258,-0.0113,-0.0174,-0.0541,-0.0189,-0.0459,-0.0116,-0.0187,-0.0129,-0.0114,-0.0601,-0.0503,-0.0941,-0.0482,-0.0161,-0.0208,-0.0174,-0.0351,-0.0235
Ahmedabad,-0.0207,-0.0201,0.0007,0.0001,-0.0019,-0.0036,-0.0288,1.0,-0.0426,-0.0067,-0.0118,-0.0162,-0.04,-0.0124,-0.0439,-0.0141,-0.0327,-0.0183,-0.0081,-0.0124,-0.0384,-0.0134,-0.0326,-0.0082,-0.0133,-0.0092,-0.0081,-0.0427,-0.0357,-0.0669,-0.0342,-0.0114,-0.0148,-0.0124,-0.025,-0.0167
Bengaluru,-0.1266,-0.1286,-0.0037,-0.0062,0.0081,-0.003,-0.0599,-0.0426,1.0,-0.014,-0.0247,-0.0337,-0.0832,-0.0259,-0.0914,-0.0292,-0.0681,-0.0381,-0.0168,-0.0257,-0.08,-0.0279,-0.0678,-0.0171,-0.0277,-0.019,-0.0169,-0.0889,-0.0744,-0.1392,-0.0713,-0.0238,-0.0307,-0.0257,-0.0519,-0.0348
"Bloemfontein, South Africa",0.0044,0.0041,0.0013,0.001,-0.0154,0.0127,-0.0095,-0.0067,-0.014,1.0,-0.0039,-0.0053,-0.0132,-0.0041,-0.0145,-0.0046,-0.0108,-0.006,-0.0027,-0.0041,-0.0127,-0.0044,-0.0107,-0.0027,-0.0044,-0.003,-0.0027,-0.0141,-0.0118,-0.022,-0.0113,-0.0038,-0.0049,-0.0041,-0.0082,-0.0055
